Analysis of Variance Table

Response: Price
                             Df     Sum Sq    Mean Sq   F value    Pr(>F)    
LotArea                       1 1.3060e+12 1.3060e+12 1649.8967 < 2.2e-16 ***
YearBuilt                     1 5.6315e+12 5.6315e+12 7114.1674 < 2.2e-16 ***
YearRemodAdd                  1 1.0643e+12 1.0643e+12 1344.5173 < 2.2e-16 ***
MasVnrArea                    1 1.8979e+12 1.8979e+12 2397.5262 < 2.2e-16 ***
BsmtFinSF1                    1 6.3251e+11 6.3251e+11  799.0454 < 2.2e-16 ***
TotalBsmtSF                   1 1.0649e+12 1.0649e+12 1345.3043 < 2.2e-16 ***
BsmtFullBath                  1 3.1785e+07 3.1785e+07    0.0402 0.8411960    
FullBath                      1 6.7770e+11 6.7770e+11  856.1260 < 2.2e-16 ***
HalfBath                      1 4.6087e+11 4.6087e+11  582.2080 < 2.2e-16 ***
Bedroom                       1 1.0941e+06 1.0941e+06    0.0014 0.9703468    
Kitchen                       1 1.4323e+11 1.4323e+11  180.9461 < 2.2e-16 ***
TotRmsAbvGrd                  1 7.0582e+11 7.0582e+11  891.6550 < 2.2e-16 ***
Fireplaces                    1 2.0971e+11 2.0971e+11  264.9284 < 2.2e-16 ***
GarageCars                    1 2.8731e+11 2.8731e+11  362.9604 < 2.2e-16 ***
GarageArea                    1 4.7305e+10 4.7305e+10   59.7599 1.498e-14 ***
WoodDeckSf                    1 1.6676e+10 1.6676e+10   21.0661 4.639e-06 ***
EnclosedPorch                 1 7.9785e+09 7.9785e+09   10.0791 0.0015164 ** 
ScreenPorch                   1 4.5229e+10 4.5229e+10   57.1377 5.524e-14 ***
Miscval                       1 7.4717e+10 7.4717e+10   94.3887 < 2.2e-16 ***
LotArea:YearBuilt             1 1.5736e+10 1.5736e+10   19.8797 8.582e-06 ***
LotArea:YearRemodAdd          1 7.7008e+09 7.7008e+09    9.7284 0.0018335 ** 
LotArea:MasVnrArea            1 4.3606e+10 4.3606e+10   55.0866 1.535e-13 ***
LotArea:BsmtFinSF1            1 3.7095e+11 3.7095e+11  468.6179 < 2.2e-16 ***
LotArea:TotalBsmtSF           1 4.2687e+05 4.2687e+05    0.0005 0.9814749    
LotArea:BsmtFullBath          1 1.5297e+11 1.5297e+11  193.2433 < 2.2e-16 ***
LotArea:FullBath              1 8.7677e+08 8.7677e+08    1.1076 0.2926946    
LotArea:HalfBath              1 1.5602e+10 1.5602e+10   19.7098 9.374e-06 ***
LotArea:Bedroom               1 6.8210e+08 6.8210e+08    0.8617 0.3533506    
LotArea:Kitchen               1 1.1568e+10 1.1568e+10   14.6139 0.0001349 ***
LotArea:TotRmsAbvGrd          1 2.0734e+09 2.0734e+09    2.6193 0.1056864    
LotArea:Fireplaces            1 2.2523e+09 2.2523e+09    2.8453 0.0917547 .  
LotArea:GarageCars            1 1.8131e+10 1.8131e+10   22.9049 1.793e-06 ***
LotArea:GarageArea            1 2.6718e+09 2.6718e+09    3.3753 0.0662912 .  
LotArea:WoodDeckSf            1 3.0250e+09 3.0250e+09    3.8214 0.0507037 .  
LotArea:EnclosedPorch         1 1.0919e+09 1.0919e+09    1.3793 0.2403196    
