"","(Intercept)","LotFrontage","LotArea","YearBuilt","YearRemodAdd","MasVnrArea","BsmtFinSF1","BsmFinSF2","TotalBsmtSF","`1stFlrSF`","`2ndFlrSF`","LowQualFinSF","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","Bedroom","Kitchen","TotRmsAbvGrd","Fireplaces","GarageYrBlt","GarageCars","GarageArea","WoodDeckSf","OpenPorchSF","EnclosedPorch","`3SsnPorch`","ScreenPorch","PoolArea","Miscval","Mosold","YrSold"
"(Intercept)",1489142381408.28,655827.366110564,-4051.49705550661,-2556250.61005664,963941.997465159,-115427.517937707,74195.8982027432,116319.282850669,12199.5705274581,-109353.114511502,-202049.737736351,615949.579838725,62679313.4003004,-47496204.8301115,216900126.085329,157703551.234099,-18051662.6834392,124355486.381112,-31227096.8903995,9112124.31297606,-2914346.91928985,-27303940.3489809,380844.356709962,64885.6852222238,-406108.102909136,-310735.886555621,785760.580983166,-303531.886695019,-1567494.85649447,40620.6602525766,-61889345.8832878,-737198809.972516
"LotFrontage",655827.366110564,1896.43191417883,-2.10192369816367,-171.678962062456,-8.77830965490405,-3.32554611200995,-2.97060374527472,-2.26482848546344,8.97931688334828,-23.0783384358041,10.1103888779805,33.6385001650798,2583.97862529956,4951.08480084701,7277.16152723713,2133.65812358115,-9107.22416507388,16846.0241543711,-3911.21150313922,-1102.59774847577,327.178069157876,-1519.93047223616,-52.3106746852283,7.24482460496128,-31.9137680236701,-12.9448875809229,-60.5333372020249,1.19906755208383,-104.063139345389,1.98674012431327,108.241203139206,-494.393650584275
"LotArea",-4051.49705550661,-2.10192369816367,0.0206965631222633,0.360575926645486,0.237169619164222,0.0523908048192308,-0.0110291526204241,-0.052851125143536,0.000879576597731523,-0.07108860998935,-0.0234418439398427,-0.00139621349393025,-10.0076518497739,12.9798330463176,-3.9919515835552,-11.1866809660118,-0.530916023487796,36.9735586199487,-1.18378770869641,-7.32252114797049,0.0855909886042967,-1.06950048143836,-0.0292898705688563,-0.0516171866632866,0.0439359149185033,0.0217378814613529,0.0143727170765237,-0.0357029900910951,-0.0416980306843778,-0.009214639530001,0.0766631084555038,1.36664155771206
"YearBuilt",-2556250.61005664,-171.678962062456,0.360575926645486,3203.55124596473,-438.406510547064,-33.950260963136,-5.16228893892854,2.91698764110295,-25.3116519470481,28.8560704961154,57.2211877425218,142.366674320828,-9335.88062695519,-1457.80930313567,-37893.2549419435,-41557.2841550712,-3491.37095577101,14707.8434076601,2627.96537741878,-4292.75334842737,-2256.70230431006,-12514.9067068955,66.5792513692957,5.42384939078346,10.832606506845,140.133228333976,47.6575478449104,49.3660638896831,-77.6560268144055,2.67598735065899,154.259454515049,798.414297278716
"YearRemodAdd",963941.997465159,-8.77830965490405,0.237169619164222,-438.406510547064,2904.69245340825,17.0559665537045,12.5662582609682,10.8537042572341,1.06682048606451,-19.6874956377182,-17.9513734993623,27.8048050199164,-9584.2286509785,-3744.51079063986,-17224.642620675,2027.17455275502,12367.3181762479,38620.400824214,-3242.78061823826,3277.56771057977,-721.151597247756,-8477.1389100621,27.65459939573,-25.1583682752437,-57.0440624799275,3.94124187498393,-17.2123166977994,20.622808444378,34.3657093976763,1.56310585690837,-353.051542272229,-2210.1376830287
"MasVnrArea",-115427.517937707,-3.32554611200995,0.0523908048192308,-33.950260963136,17.0559665537045,26.7333332209787,-1.32294941709035,0.571729024958771,-0.995104177402116,-3.69135167879496,-2.61089209950779,2.08089524915565,346.213556497106,95.3258690119982,312.396947096651,-409.144062798757,434.799134673961,1281.69947394874,-242.207604782264,-169.198083371854,18.7935318470975,-175.546623603045,-2.60510060894642,-0.358883813986005,5.09938466234969,2.88377501749232,-0.199862370903223,-1.45812817286797,8.60424755612636,-0.127508595445826,26.2578347189048,57.2022072977485
"BsmtFinSF1",74195.8982027432,-2.97060374527472,-0.0110291526204241,-5.16228893892854,12.5662582609682,-1.32294941709035,7.70988033951448,4.372709356936,-2.2895497075729,-0.923406199529223,-0.465392610728356,1.3241242400734,-3796.61582657024,-2292.56155226856,100.909535758098,-259.562668210337,243.02255429983,226.096426794784,129.644170493968,-320.34672437081,3.70618994543276,640.587324558525,-1.39644739232545,-1.12764353714519,0.374665613369481,1.61769028620167,-0.499376613261372,-0.967390561238009,-2.17601661273146,-0.372824594546961,-3.99912190196647,-47.8315254562849
"BsmFinSF2",116319.282850669,-2.26482848546344,-0.052851125143536,2.91698764110295,10.8537042572341,0.571729024958771,4.372709356936,26.8809951523438,-1.88694683083485,-0.264751297512525,0.7287960448601,1.38028945582835,-3551.0601655268,-3347.79400904123,-163.566254694722,-780.265134965161,-268.632759113227,76.70101359507,282.307463565476,-228.781589457546,5.06839212545525,726.531693539334,-0.718962097612009,-3.18988939719187,-0.608878783226084,-0.147328902031465,5.03066785142913,-3.18174518415087,-3.72668957233754,0.0124748966550262,8.97538413725109,-76.511522404752
"TotalBsmtSF",12199.5705274581,8.97931688334828,0.000879576597731523,-25.3116519470481,1.06682048606451,-0.995104177402116,-2.2895497075729,-1.88694683083485,12.2667655765607,-9.18924625732863,0.173240825847055,-0.214101076236068,231.814636793007,235.181970927025,42.0757399867214,447.336071082437,-266.247014998431,2268.01870277443,-10.0408314590782,250.856878282699,4.0371145133138,-150.689645516021,-1.62475356757058,0.0962143046837032,-3.81305878946455,-2.53232306626598,-0.672642430160682,0.925528109421436,3.72360262567484,-0.0612619980000643,37.558662363817,12.3462035593063
"`1stFlrSF`",-109353.114511502,-23.0783384358041,-0.07108860998935,28.8560704961154,-19.6874956377182,-3.69135167879496,-0.923406199529223,-0.264751297512525,-9.18924625732863,24.4016206555994,10.8167615720074,4.97162212895252,422.971723846609,494.697567390803,-2917.25396533045,-691.782063021289,232.353145333047,-1513.68843319369,-1927.53066942916,-1686.68165176914,12.5011827975531,207.401838571939,-5.28497375675316,-2.19679944510181,-5.16951947403032,-0.291362795634897,-1.95587369545964,-3.36758679012895,-13.0807552310838,-0.463100208223306,-31.1579349869242,34.6881456053251
